ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
32763,32763,0,0
32764,32764,0,0
32765,32765,0,0
32766,32766,0,0
32767,32767,0,0
32768,32768,0,0
32769,32769,0,0
32770,32770,0,0
501343,501343,0,0
507832,507832,0,0
509079,509079,0,0
509081,509081,0,0
514012,514012,0,0
514015,514015,0,0
514834,514834,0,0
515671,515671,0,0
523202,523202,0,0
523212,523212,0,0
523283,523283,0,0
523365,523365,0,0
523367,523367,0,0
528271,528271,0,0
528295,528295,0,0
528297,528297,0,0
528301,528301,0,0
528323,528323,0,0
528986,528986,0,0
528988,528988,0,0
528990,528990,0,0
529042,529042,0,0
529044,529044,0,0
529046,529046,0,0
529072,529072,0,0
529076,529076,0,0
529112,529112,0,0
529114,529114,0,0
529116,529116,0,0
529118,529118,0,0
529176,529176,0,0
529180,529180,0,0
529212,529212,0,0
529214,529214,0,0
529216,529216,0,0
529218,529218,0,0
529303,529303,0,0
529411,529411,0,0
529660,529660,0,0
529713,529713,0,0
530007,530007,0,0
532272,532272,0,0
532274,532274,0,0
532881,532881,0,0
535714,35805915,1,1
535714,535714,0,0
537647,537647,0,0
538530,538530,0,0
543291,543291,0,0
544411,544411,0,0
544505,544505,0,0
559532,559532,0,0
571187,571187,0,0
581480,581480,0,0
586306,586306,0,0
586488,586488,0,0
586491,586491,0,0
588017,588017,0,0
590550,590550,0,0
590768,590768,0,0
595252,595252,0,0
596876,596876,0,0
636164,636164,0,0
636167,636167,0,0
700253,700253,0,0
700299,700299,0,0
700465,700465,0,0
701322,701322,0,0
702661,702661,0,0
702685,702685,0,0
702774,702774,0,0
702865,702865,0,0
703083,703083,0,0
703244,703244,0,0
703470,703470,0,0
703547,703547,0,0
704053,704053,0,0
704599,704599,0,0
704943,704943,0,0
704984,704984,0,0
705103,705103,0,0
705178,705178,0,0
705219,705219,0,0
705755,705755,0,0
705944,705944,0,0
706644,706644,0,0
708298,708298,0,0
709567,709567,0,0
709699,709699,0,0
710062,710062,0,0
710650,710650,0,0
711452,711452,0,0
711584,711584,0,0
711714,711714,0,0
712615,712615,0,0
712757,712757,0,0
713109,713109,0,0
713192,713192,0,0
713196,713196,0,0
713823,713823,0,0
714684,714684,0,0
714785,714785,0,0
715233,715233,0,0
715259,715259,0,0
715458,715458,0,0
715710,715710,0,0
715727,715727,0,0
715939,715939,0,0
715997,715997,0,0
716968,716968,0,0
717136,717136,0,0
717607,717607,0,0
718122,718122,0,0
718583,718583,0,0
719057,719057,0,0
719128,719128,0,0
719174,719174,0,0
719311,719311,0,0
720727,720727,0,0
720810,720810,0,0
721724,721724,0,0
722031,722031,0,0
722424,722424,0,0
723013,723013,0,0
723344,723344,0,0
724394,724394,0,0
724816,724816,0,0
724908,724908,0,0
725131,725131,0,0
725822,725822,0,0
727835,727835,0,0
729855,729855,0,0
730548,730548,0,0
730729,730729,0,0
731188,731188,0,0
731533,731533,0,0
732309,732309,0,0
732893,732893,0,0
733008,733008,0,0
733301,733301,0,0
733523,733523,0,0
733896,733896,0,0
734275,734275,0,0
734354,734354,0,0
735340,735340,0,0
735843,735843,0,0
735850,735850,0,0
735951,735951,0,0
735979,735979,0,0
738152,738152,0,0
738156,738156,0,0
738818,738818,0,0
739138,739138,0,0
739323,739323,0,0
739363,739363,0,0
740275,740275,0,0
740560,740560,0,0
740910,740910,0,0
740910,35803612,1,1
740910,35803485,1,1
740924,740924,0,0
741530,741530,0,0
742185,742185,0,0
742267,742267,0,0
742594,742594,0,0
743196,743196,0,0
743670,743670,0,0
744740,744740,0,0
744798,744798,0,0
745268,745268,0,0
745466,745466,0,0
745466,35803534,1,1
745790,745790,0,0
748010,748010,0,0
749727,749727,0,0
749910,749910,0,0
750119,750119,0,0
750146,750146,0,0
750982,750982,0,0
751246,751246,0,0
751347,751347,0,0
751412,751412,0,0
751698,751698,0,0
751889,751889,0,0
752061,35805329,1,1
752061,752061,0,0
752061,35804144,1,1
752061,35803692,1,1
752061,35804814,1,1
752061,35803575,1,1
752061,35803693,1,1
752061,35803690,1,1
752276,752276,0,0
753626,753626,0,0
753860,753860,0,0
754270,754270,0,0
755695,755695,0,0
756018,756018,0,0
756349,756349,0,0
757352,757352,0,0
757627,757627,0,0
757688,757688,0,0
759401,759401,0,0
759740,759740,0,0
766067,766067,0,0
766209,766209,0,0
766337,766337,0,0
766529,766529,0,0
766814,766814,0,0
767410,767410,0,0
769935,769935,0,0
777221,35806131,1,1
777221,35806115,1,1
777221,35804162,1,1
777221,777221,0,0
778268,778268,0,0
778474,778474,0,0
778711,778711,0,0
780369,780369,0,0
780442,780442,0,0
781039,781039,0,0
781182,781182,0,0
781705,781705,0,0
782043,782043,0,0
782211,782211,0,0
785649,785649,0,0
785788,785788,0,0
786426,786426,0,0
787362,787362,0,0
787787,787787,0,0
789578,789578,0,0
789779,789779,0,0
789780,789780,0,0
789781,789781,0,0
789788,789788,0,0
789789,789789,0,0
789790,789790,0,0
789791,789791,0,0
789800,789800,0,0
789809,789809,0,0
789810,789810,0,0
789811,789811,0,0
789812,789812,0,0
789813,789813,0,0
789814,789814,0,0
789815,789815,0,0
789837,789837,0,0
789846,789846,0,0
789889,789889,0,0
789890,789890,0,0
789903,789903,0,0
789904,789904,0,0
789905,789905,0,0
789908,789908,0,0
789933,789933,0,0
789937,789937,0,0
789938,789938,0,0
789963,789963,0,0
789964,789964,0,0
789965,789965,0,0
789966,789966,0,0
789967,789967,0,0
789968,789968,0,0
789969,789969,0,0
790012,790012,0,0
790021,790021,0,0
790033,790033,0,0
790253,790253,0,0
791967,791967,0,0
791967,35804162,1,1
791967,35806115,1,1
792263,792263,0,0
792388,792388,0,0
792437,792437,0,0
792445,792445,0,0
792460,792460,0,0
792466,792466,0,0
792467,792467,0,0
792468,792468,0,0
792470,792470,0,0
792472,792472,0,0
792478,792478,0,0
792482,792482,0,0
792499,35805647,1,1
792499,792499,0,0
792531,792531,0,0
792536,792536,0,0
792537,792537,0,0
792538,792538,0,0
792539,792539,0,0
792548,792548,0,0
792561,792561,0,0
792562,792562,0,0
792584,792584,0,0
792647,792647,0,0
792649,35804258,1,1
792649,792649,0,0
792649,35804280,1,1
792649,35804294,1,1
792649,35804281,1,1
792681,792681,0,0
792689,792689,0,0
792690,792690,0,0
792707,792707,0,0
792733,792733,0,0
792734,792734,0,0
792737,792737,0,0
792737,35804066,1,1
792747,792747,0,0
792748,792748,0,0
792750,792750,0,0
792751,792751,0,0
792763,792763,0,0
792764,792764,0,0
792764,35804606,1,1
792777,792777,0,0
792789,792789,0,0
792828,792828,0,0
792829,792829,0,0
792844,792844,0,0
792844,35805074,1,1
792855,792855,0,0
792856,792856,0,0
792857,792857,0,0
792858,792858,0,0
792859,792859,0,0
792861,792861,0,0
792862,792862,0,0
792899,792899,0,0
792909,792909,0,0
792927,792927,0,0
792929,792929,0,0
792957,792957,0,0
792958,792958,0,0
792959,792959,0,0
792984,792984,0,0
792993,35101653,1,1
792993,792993,0,0
793015,793015,0,0
793016,793016,0,0
793017,793017,0,0
793018,793018,0,0
793042,793042,0,0
793042,35805923,1,1
793042,35807090,1,1
793066,793066,0,0
793081,793081,0,0
793082,793082,0,0
793083,793083,0,0
793084,793084,0,0
793085,793085,0,0
793086,793086,0,0
793087,793087,0,0
793088,793088,0,0
793100,793100,0,0
793124,793124,0,0
793126,793126,0,0
793127,793127,0,0
793128,793128,0,0
793137,793137,0,0
793139,793139,0,0
793140,793140,0,0
793141,793141,0,0
793143,793143,0,0
793179,793179,0,0
793187,793187,0,0
793188,793188,0,0
793189,793189,0,0
793190,793190,0,0
793196,793196,0,0
793197,793197,0,0
793210,793210,0,0
793211,793211,0,0
793212,793212,0,0
793213,793213,0,0
793214,793214,0,0
793229,793229,0,0
793241,793241,0,0
793242,793242,0,0
793245,793245,0,0
793246,793246,0,0
793262,793262,0,0
793263,793263,0,0
793264,793264,0,0
793265,793265,0,0
793266,793266,0,0
793278,793278,0,0
793281,793281,0,0
793290,793290,0,0
793291,793291,0,0
793292,793292,0,0
793293,793293,0,0
793294,793294,0,0
793348,793348,0,0
793349,793349,0,0
793351,793351,0,0
793361,793361,0,0
793378,793378,0,0
793379,793379,0,0
793380,793380,0,0
793381,793381,0,0
793382,793382,0,0
793383,793383,0,0
793384,793384,0,0
793393,793393,0,0
793394,793394,0,0
793395,793395,0,0
793396,793396,0,0
793397,793397,0,0
793398,793398,0,0
793399,793399,0,0
793400,793400,0,0
793401,793401,0,0
793426,793426,0,0
793428,793428,0,0
793430,793430,0,0
793431,793431,0,0
793432,793432,0,0
793433,793433,0,0
793440,793440,0,0
793447,793447,0,0
793448,793448,0,0
793449,793449,0,0
793473,793473,0,0
793474,793474,0,0
793491,793491,0,0
793492,793492,0,0
793502,793502,0,0
793522,793522,0,0
793527,793527,0,0
793561,793561,0,0
793620,793620,0,0
793621,793621,0,0
793622,793622,0,0
793623,793623,0,0
793624,793624,0,0
793625,793625,0,0
793626,793626,0,0
793627,793627,0,0
793628,793628,0,0
793629,793629,0,0
793630,793630,0,0
793631,793631,0,0
793635,793635,0,0
793687,793687,0,0
793688,793688,0,0
793689,793689,0,0
793691,793691,0,0
793692,793692,0,0
793693,793693,0,0
793694,793694,0,0
793695,793695,0,0
793739,793739,0,0
793741,793741,0,0
793775,793775,0,0
793784,793784,0,0
793785,793785,0,0
793786,793786,0,0
793787,793787,0,0
793788,793788,0,0
793789,793789,0,0
793790,793790,0,0
793791,793791,0,0
793793,793793,0,0
793794,793794,0,0
793795,793795,0,0
793797,793797,0,0
793797,35803518,1,1
793843,793843,0,0
793844,793844,0,0
793846,35804316,1,1
793846,35804306,1,1
793846,793846,0,0
793846,35804200,1,1
793889,793889,0,0
793945,793945,0,0
793946,793946,0,0
793979,793979,0,0
793980,793980,0,0
793981,793981,0,0
793988,793988,0,0
793990,793990,0,0
794036,794036,0,0
794037,794037,0,0
794039,794039,0,0
794052,794052,0,0
794068,794068,0,0
794068,35805083,1,1
794068,35804050,1,1
794068,35804064,1,1
794078,794078,0,0
794079,794079,0,0
794099,794099,0,0
794104,794104,0,0
794109,794109,0,0
794111,794111,0,0
794119,794119,0,0
794120,794120,0,0
794147,794147,0,0
794229,794229,0,0
794852,794852,0,0
795113,795113,0,0
795661,795661,0,0
797399,797399,0,0
797617,797617,0,0
798834,798834,0,0
798874,35804430,1,1
798874,798874,0,0
800878,800878,0,0
801396,801396,0,0
836208,836208,0,0
836654,836654,0,0
836715,836715,0,0
836877,836877,0,0
837027,837027,0,0
900017,900017,0,0
900093,900093,0,0
901318,901318,0,0
901656,901656,0,0
901845,901845,0,0
902251,902251,0,0
902427,902427,0,0
902616,902616,0,0
902722,902722,0,0
902938,902938,0,0
902950,902950,0,0
903031,903031,0,0
903459,903459,0,0
903459,35803693,1,1
903459,35805770,1,1
903459,35803692,1,1
903643,35803562,1,1
903643,35803551,1,1
903643,35803547,1,1
903643,35803549,1,1
903643,35803564,1,1
903643,35803552,1,1
903643,35803556,1,1
903643,35803553,1,1
903643,35803554,1,1
903643,35805917,1,1
903643,903643,0,0
903643,35803550,1,1
903643,35803560,1,1
903643,35803557,1,1
903643,35803555,1,1
903643,35803563,1,1
903893,903893,0,0
903963,903963,0,0
904205,904205,0,0
904250,904250,0,0
904351,904351,0,0
904356,904356,0,0
904453,904453,0,0
904501,904501,0,0
904525,904525,0,0
904542,904542,0,0
904639,904639,0,0
904704,904704,0,0
905078,35804789,2,3
905078,905078,0,0
905151,905151,0,0
905223,905223,0,0
905223,42542372,1,1
905233,905233,0,0
905273,905273,0,0
905363,905363,0,0
905371,905371,0,0
905518,905518,0,0
905531,905531,0,0
905829,905829,0,0
906072,906072,0,0
906149,906149,0,0
906780,35102009,1,1
906780,35805119,1,1
906780,35805329,1,1
906780,35805075,1,1
906780,35804545,1,1
906780,906780,0,0
906780,35803585,1,1
906780,35807044,1,1
906780,35804241,1,1
906780,35803479,1,1
