concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
1307353,1397059,Concept replaced by,2012-10-01,2099-12-31,NA
19121782,19135923,Concept replaced by,2012-10-01,2099-12-31,NA
40095191,19005061,Concept replaced by,2012-10-01,2099-12-31,NA
40081135,19136027,Concept replaced by,2012-10-01,2099-12-31,NA
40126808,1560305,Concept replaced by,2012-10-01,2099-12-31,NA
40004944,19029370,Concept replaced by,2012-10-01,2099-12-31,NA
40174136,40175775,Concept replaced by,2012-10-01,2099-12-31,NA
19113868,986417,Concept replaced by,2012-10-01,2099-12-31,NA
40174432,40175898,Concept replaced by,2012-10-01,2099-12-31,NA
40127176,1351115,Concept replaced by,2012-10-01,2099-12-31,NA
40166902,40173511,Concept replaced by,2012-10-01,2099-12-31,NA
40182289,975125,Concept replaced by,2012-10-01,2099-12-31,NA
42898628,42904004,Concept replaced by,2013-01-07,2099-12-31,NA
42899341,42903995,Concept replaced by,2013-01-07,2099-12-31,NA
42899586,42904011,Concept replaced by,2013-01-07,2099-12-31,NA
42899874,42904098,Concept replaced by,2013-01-07,2099-12-31,NA
19012735,40161930,Concept replaced by,2013-01-07,2099-12-31,NA
42899885,42904120,Concept replaced by,2013-01-07,2099-12-31,NA
42900530,42904117,Concept replaced by,2013-01-07,2099-12-31,NA
42899967,42904036,Concept replaced by,2013-01-07,2099-12-31,NA
42898321,42904032,Concept replaced by,2013-01-07,2099-12-31,NA
42898338,42903962,Concept replaced by,2013-01-07,2099-12-31,NA
42899621,42904109,Concept replaced by,2013-01-07,2099-12-31,NA
42899991,42904026,Concept replaced by,2013-01-07,2099-12-31,NA
42898987,42898982,Concept replaced by,2013-01-07,2099-12-31,NA
42899735,42904001,Concept replaced by,2013-01-07,2099-12-31,NA
19018519,42900342,Concept replaced by,2013-01-07,2099-12-31,NA
19136027,40081135,Concept replaces,2012-10-01,2099-12-31,NA
40175898,40174432,Concept replaces,2012-10-01,2099-12-31,NA
1560305,40126808,Concept replaces,2012-10-01,2099-12-31,NA
40175775,40174136,Concept replaces,2012-10-01,2099-12-31,NA
19135923,19121782,Concept replaces,2012-10-01,2099-12-31,NA
19005061,40095191,Concept replaces,2012-10-01,2099-12-31,NA
1397059,1307353,Concept replaces,2012-10-01,2099-12-31,NA
42904109,42899621,Concept replaces,2013-01-07,2099-12-31,NA
42904026,42899991,Concept replaces,2013-01-07,2099-12-31,NA
42898982,42898987,Concept replaces,2013-01-07,2099-12-31,NA
42904001,42899735,Concept replaces,2013-01-07,2099-12-31,NA
