regimen_name,regimen_id,ingredient_name,ingredient_concept_id
Venetoclax and Obinutuzumab,35100084,venetoclax,35604205
Venetoclax and Obinutuzumab,35100084,obinutuzumab,44507676
Selinexor and Dexamethasone,35100304,Selinexor,1361191
Selinexor and Dexamethasone,35100304,Dexamethasone,1518254
MBVP,35100617,Methotrexate,1305058
MBVP,35100617,Carmustine,1350066
MBVP,35100617,Prednisone,1551099
MBVP,35100617,Teniposide,19136750
"Lomustine, Temozolomide, RT",35100653,temozolomide,1341149
"Lomustine, Temozolomide, RT",35100653,Lomustine,1391846
Exemestane and Tucidinostat,35100810,exemestane,1398399
"Doxorubicin, 6-MP, Pegaspargase, Vincristine, Prednisolone",35100884,Vincristine,1308290
"Doxorubicin, 6-MP, Pegaspargase, Vincristine, Prednisolone",35100884,pegaspargase,1326481
"Doxorubicin, 6-MP, Pegaspargase, Vincristine, Prednisolone",35100884,Doxorubicin,1338512
"Doxorubicin, 6-MP, Pegaspargase, Vincristine, Prednisolone",35100884,mercaptopurine,1436650
"Doxorubicin, 6-MP, Pegaspargase, Vincristine, Prednisolone",35100884,prednisolone,1550557
Dara-VTD,35101150,bortezomib,1336825
Dara-VTD,35101150,Dexamethasone,1518254
Dara-VTD,35101150,Thalidomide,19137042
Dara-VTD,35101150,daratumumab,35605744
SOX and Bevacizumab,35101262,oxaliplatin,1318011
SOX and Bevacizumab,35101262,bevacizumab,1397141
Isotretinoin and Dinutuximab,35101312,Isotretinoin,984232
Isotretinoin and Dinutuximab,35101312,dinutuximab,46221699
"Imatinib, Vincristine, Prednisone",35101351,imatinib,1304107
"Imatinib, Vincristine, Prednisone",35101351,Vincristine,1308290
"Imatinib, Vincristine, Prednisone",35101351,Prednisone,1551099
"Paclitaxel, Pertuzumab, Ado-trastuzumab emtansine",35101451,Paclitaxel,1378382
"Paclitaxel, Pertuzumab, Ado-trastuzumab emtansine",35101451,pertuzumab,42801287
"Paclitaxel, Pertuzumab, Ado-trastuzumab emtansine",35101451,ado-trastuzumab emtansine,43525787
Paclitaxel and Vinorelbine,35101452,vinorelbine,1343346
Paclitaxel and Vinorelbine,35101452,Paclitaxel,1378382
nab-Paclitaxel and Trastuzumab,35101467,Paclitaxel,1378382
nab-Paclitaxel and Trastuzumab,35101467,trastuzumab,1387104
Methotrexate and Pegaspargase,35101471,Methotrexate,1305058
Methotrexate and Pegaspargase,35101471,pegaspargase,1326481
"Mercaptopurine, Methotrexate, Vincristine, Dexamethasone",35101473,Methotrexate,1305058
"Mercaptopurine, Methotrexate, Vincristine, Dexamethasone",35101473,Vincristine,1308290
"Mercaptopurine, Methotrexate, Vincristine, Dexamethasone",35101473,mercaptopurine,1436650
"Mercaptopurine, Methotrexate, Vincristine, Dexamethasone",35101473,Dexamethasone,1518254
CALGB 8811 late intensification,35101481,Vincristine,1308290
CALGB 8811 late intensification,35101481,Cyclophosphamide,1310317
CALGB 8811 late intensification,35101481,Cytarabine,1311078
CALGB 8811 late intensification,35101481,Doxorubicin,1338512
CALGB 8811 late intensification,35101481,Thioguanine,1437379
CALGB 8811 late intensification,35101481,Dexamethasone,1518254
CALGB 8811 early intensification,35101482,Vincristine,1308290
CALGB 8811 early intensification,35101482,Cyclophosphamide,1310317
CALGB 8811 early intensification,35101482,Cytarabine,1311078
CALGB 8811 early intensification,35101482,mercaptopurine,1436650
CALGB 8811 early intensification,35101482,ASPARAGINASE,19012585
Anastrozole and Palbociclib,35101493,anastrozole,1348265
Anastrozole and Palbociclib,35101493,palbociclib,45892075
AC-T,35101507,Cyclophosphamide,1310317
AC-T,35101507,Doxorubicin,1338512
AC-T,35101507,Paclitaxel,1378382
Bendamustine and Brentuximab vedotin,35101520,bendamustine,19015523
Bendamustine and Brentuximab vedotin,35101520,brentuximab vedotin,40241969
ADT and Darolutamide,35101527,darolutamide,1361291
"Carboplatin, nab-Paclitaxel, Atezolizumab",35101611,Carboplatin,1344905
"Carboplatin, nab-Paclitaxel, Atezolizumab",35101611,Paclitaxel,1378382
"Carboplatin, nab-Paclitaxel, Atezolizumab",35101611,atezolizumab,42629079
"Carboplatin, Etoposide, RT",35101612,Carboplatin,1344905
"Carboplatin, Etoposide, RT",35101612,Etoposide,1350504
TH (Taxotere/SC),35101640,docetaxel,1315942
mFOLFOX7 (L-Leucovorin),35101642,Fluorouracil,955632
mFOLFOX7 (L-Leucovorin),35101642,oxaliplatin,1318011
mFOLFOX7 (L-Leucovorin),35101642,levoleucovorin,40168303
mFOLFOX6 and Bevacizumab (L-Leucovorin),35101643,Fluorouracil,955632
mFOLFOX6 and Bevacizumab (L-Leucovorin),35101643,oxaliplatin,1318011
mFOLFOX6 and Bevacizumab (L-Leucovorin),35101643,bevacizumab,1397141
mFOLFOX6 and Bevacizumab (L-Leucovorin),35101643,levoleucovorin,40168303
mFOLFOX6 (L-Leucovorin),35101644,Fluorouracil,955632
mFOLFOX6 (L-Leucovorin),35101644,oxaliplatin,1318011
mFOLFOX6 (L-Leucovorin),35101644,levoleucovorin,40168303
BR and Polatuzumab vedotin,35101649,rituximab,1314273
BR and Polatuzumab vedotin,35101649,polatuzumab vedotin,1396729
BR and Polatuzumab vedotin,35101649,bendamustine,19015523
Benralizumab monotherapy,35101653,benralizumab,792993
Axitinib and Pembrolizumab,35101813,axitinib,42709322
Axitinib and Pembrolizumab,35101813,pembrolizumab,45775965
Alpelisib and Fulvestrant,35101866,fulvestrant,1304044
Alpelisib and Fulvestrant,35101866,alpelisib,1396423
Irinotecan and S-1,35101933,irinotecan,1367268
Gemcitabine and Trastuzumab,35101949,gemcitabine,1314924
Gemcitabine and Trastuzumab,35101949,trastuzumab,1387104
Fedratinib monotherapy,35101952,Fedratinib,1361614
ddAC-T,35101978,Cyclophosphamide,1310317
ddAC-T,35101978,Doxorubicin,1338512
ddAC-T,35101978,Paclitaxel,1378382
Dara-KD,35101979,Dexamethasone,1518254
Dara-KD,35101979,daratumumab,35605744
Dara-KD,35101979,carfilzomib,42873638
"Cyclophosphamide, Cytarabine, Pegaspargase, Thioguanine, Vincristine, Dexamethasone",35101984,Vincristine,1308290
"Cyclophosphamide, Cytarabine, Pegaspargase, Thioguanine, Vincristine, Dexamethasone",35101984,Cyclophosphamide,1310317
"Cyclophosphamide, Cytarabine, Pegaspargase, Thioguanine, Vincristine, Dexamethasone",35101984,Cytarabine,1311078
"Cyclophosphamide, Cytarabine, Pegaspargase, Thioguanine, Vincristine, Dexamethasone",35101984,pegaspargase,1326481
"Cyclophosphamide, Cytarabine, Pegaspargase, Thioguanine, Vincristine, Dexamethasone",35101984,Thioguanine,1437379
"Cyclophosphamide, Cytarabine, Pegaspargase, Thioguanine, Vincristine, Dexamethasone",35101984,Dexamethasone,1518254
CM,35101986,Methotrexate,1305058
CM,35101986,Cyclophosphamide,1310317
CHVmP-VB,35101987,Vincristine,1308290
CHVmP-VB,35101987,Cyclophosphamide,1310317
CHVmP-VB,35101987,Bleomycin,1329241
CHVmP-VB,35101987,Doxorubicin,1338512
CHVmP-VB,35101987,Prednisone,1551099
CHVmP-VB,35101987,Teniposide,19136750
CHVmP,35101988,Cyclophosphamide,1310317
CHVmP,35101988,Doxorubicin,1338512
CHVmP,35101988,Prednisone,1551099
CHVmP,35101988,Teniposide,19136750
Capecitabine and Fulvestrant,35101990,fulvestrant,1304044
Capecitabine and Fulvestrant,35101990,capecitabine,1337620
AALL0232 consolidation,35102002,Vincristine,1308290
AALL0232 consolidation,35102002,Cyclophosphamide,1310317
AALL0232 consolidation,35102002,Cytarabine,1311078
AALL0232 consolidation,35102002,pegaspargase,1326481
AALL0232 consolidation,35102002,mercaptopurine,1436650
FOLFOX4 (L-Leucovorin),35102004,Fluorouracil,955632
